Source,Page,Content
IHVN,https://www.ihvnigeria.org/equal-project-unveils-research-findings-on-community-midwifery-in-conflict-affected-areas-in-nigeria/,EQUAL Project Unveils Research Findings on Community Midwifery in Conflict-Affected Areas in Nigeria
IHVN,https://us06web.zoom.us/j/86591217010?pwd=6AZReTKRwDOQ6V1ixxye00aBZQvmMX.1,"Registration and Participation is FREE, click  here to start"
IHVN,https://www.ihvnigeria.org/portfolio/ihvn-participates-in-nora-afcrn-summer-school-2025-booth-camp/,IHVN Participates in NORA/AFCRN Summer School 2025 Booth Camp
IHVN,https://www.ihvnigeria.org/portfolio/ihvn-participates-in-7th-national-council-on-aids/,IHVN Participates in 7th National Council on AIDS
NEPWHAN,https://nepwhan.org,"WHO WE ARE About Us Member 1 OUR HISTORY Our Network Where We Work Board of Trustees Our Team Our Partners Office Locations About Us Member 1 Member 1 OUR HISTORY Our Network Where We Work Board of Trustees Our Team Our Partners Office Locations WHAT WE DO Ongoing Projects Community-Led Monitoring Intervention Gender and Human Rights Intervention PMTCT AGYW RSSH RESEARCH C19RM Ongoing Projects Community-Led Monitoring Intervention Gender and Human Rights Intervention PMTCT AGYW RSSH RESEARCH C19RM SUPPORT SERVICES ADVOCACY & EDUCATION HIV & Human Rights Policy & Advocacy Educational Resources FAQs on HIV/AIDS Awareness Campaigns PLHIV SUPPORT NETWORK PLHIV Helplines Community Support Groups Legal Aid Access Counselling & Referrals Community Rights Advocates Community Systems Strengthening community-led monitoring community-led advocacy Institutional capacity building, REPORT ABUSE REPORT CASE FORM WHISTLE BLOWING ADVOCACY & EDUCATION HIV & Human Rights Policy & Advocacy Educational Resources FAQs on HIV/AIDS Awareness Campaigns HIV & Human Rights Policy & Advocacy Educational Resources FAQs on HIV/AIDS Awareness Campaigns PLHIV SUPPORT NETWORK PLHIV Helplines Community Support Groups Legal Aid Access Counselling & Referrals Community Rights Advocates PLHIV Helplines Community Support Groups Legal Aid Access Counselling & Referrals Community Rights Advocates Community Systems Strengthening community-led monitoring community-led advocacy Institutional capacity building, community-led monitoring community-led advocacy Institutional capacity building, REPORT ABUSE REPORT CASE FORM WHISTLE BLOWING REPORT CASE FORM WHISTLE BLOWING NEWSROOM Blog/News Feed Success Stories Events & Campaigns Resources & Reports Publications Annual Reports Research & Data Blog/News Feed Success Stories Events & Campaigns Resources & Reports Publications Annual Reports Research & Data Publications Annual Reports Research & Data GET INVOLVED Donate Volunteer Opportunities Become a Partner Careers Subscribe Form Donate Volunteer Opportunities Become a Partner Careers Subscribe Form SEARCH  OUR FOCUS AREAS PMTCT NEPWHAN’s Prevention of Mother to Child Transmission of HIV (PMTCT) intervention supports pregnant women living with HIV with timely treatment, peer support, and community follow-up—turning fear into hope and protecting the next generation. GENDER & HUMAN RIGHTS NEPWHAN’s Gender and Human Rights intervention removes barriers to HIV and TB services by empowering communities, supporting survivors, and strengthening access to justice across Nigeria. COMMUNITY-LED MONITORING Through Community-Led Monitoring (CLM), NEPWHAN places people at the center of health system accountability—collecting real-time feedback, resolving service gaps, and improving quality of care across Nigeria. COMMUNITY SYSTEMS STRENGTHENING NEPWHAN’s Community Systems Strengthening ensures communities have the skills, systems, and partnerships needed to sustain health and human rights gains beyond donor funding. ABOUT US The Network of People Living with HIV and AIDS in Nigeria (NEPWHAN) is the umbrella body representing all people living with HIV (PLHIV) in Nigeria. Established in 1998 and formally registered with the Corporate Affairs Commission (CAC) in 2004, NEPWHAN serves as the collective voice of PLHIV, advocating for their rights, dignity, and access to quality healthcare and social support. With branch offices in all 36 states and the Federal Capital Territory (FCT), Abuja, NEPWHAN operates through a nationwide structure of networks, support groups, and community-based organizations. These structures ensure that the voices of PLHIV are heard at every level — from local communities to national policy platforms. RECENT NEWS & ARTICLES NEPWHAN Holds National CLM Self-Assessment and Stakeholder Review Meeting in Abuja NEPWHAN, with support from UNAIDS and in partnership with key national stakeholders, convened the National… NEPWHAN Marks World AIDS Day 2025 With National Press Conference, Reaffirms Commitment to Ending AIDS by 2030 NEPWHAN joined national and global partners to commemorate World AIDS Day 2025 by hosting a… NEPWHAN Strengthens Community Capacity on Gender and Human Rights Under the N-THRIP Project The Network of People Living with HIV/AIDS in Nigeria (NEPWHAN) successfully concluded a three-day State-Level… Empowering Youth Champions Through Digital Tools for HIV Advocacy In a bold step toward digital inclusion and youth-led health advocacy, NEPWHAN is equipping young… OUR IMPACTS PLHIV newly initiated or re-initiated on antiretroviral therapy following treatment interruption. Documented cases of gender-based violence and human rights violations that we have conclusively resolved. Adolescent girls and young women (AGYW) reached with HIV testing who received and understood their results. Total number of adolescent girls and young women (AGYW) reached with HIV prevention services. OUR VIDEO STORIES Our works have had significant impacts on prog"
NEPWHAN,https://nepwhan.org/home-6/,Our Partners
NEPWHAN,https://nepwhan.org/community-led-monitoring-intervention/,Community-Led Monitoring Intervention
NEPWHAN,https://nepwhan.org/gender-and-human-rights/,Gender and Human Rights Intervention
NEPWHAN,https://nepwhan.org/pmtct-program/,PMTCT
NEPWHAN,https://nepwhan.org/elements/buttons/,HIV & Human Rights
NEPWHAN,https://nepwhan.org/elements/counter/,Policy & Advocacy
NEPWHAN,https://nepwhan.org/elements/lines-and-divider/,FAQs on HIV/AIDS
NEPWHAN,https://nepwhan.org/elements/iconbox/,PLHIV Helplines
NEPWHAN,https://nepwhan.org/elements/accordions/,Community Support Groups
NEPWHAN,https://nepwhan.org/elements/tabs/,Community Rights Advocates
NEPWHAN,https://nepwhan.org/elements/imagebox/,community-led monitoring
NEPWHAN,https://nepwhan.org/elements/blog-posts/,community-led advocacy
NEPWHAN,https://nepwhan.org/elements/pricing-table/,REPORT CASE FORM
NEPWHAN,https://nepwhan.org/elements/causes/,Resources & Reports
NEPWHAN,https://nepwhan.org/shop-2/,Publications
NEPWHAN,https://nepwhan.org/home-8/,Annual Reports
NEPWHAN,https://nepwhan.org#,REPORT ABUSE NOW
NEPWHAN,https://nepwhan.org#,GET STARTED
NEPWHAN,https://nepwhan.org/redesigned/?page_id=2596,PMTCT
NEPWHAN,https://nepwhan.org/gender-and-human-rights/,GENDER & HUMAN RIGHTS
NEPWHAN,https://nepwhan.org/community-led-monitoring-intervention/,COMMUNITY-LED MONITORING
NEPWHAN,https://nepwhan.org/community-systems-strengthening-intervention/,COMMUNITY SYSTEMS STRENGTHENING
NEPWHAN,https://nepwhan.org/2025/11/25/wad2025-press-conference/,"NEPWHAN Marks World AIDS Day 2025 With National Press Conference, Reaffirms Commitment to Ending AIDS by 2030"
NEPWHAN,https://nepwhan.org/2025/10/10/creative-green-solutions-4/,NEPWHAN Strengthens Community Capacity on Gender and Human Rights Under the N-THRIP Project
NEPWHAN,https://nepwhan.org/2025/10/03/empowering-youth-champions/,Empowering Youth Champions Through Digital Tools for HIV Advocacy
NEPWHAN,https://nepwhan.org/gallery/pmtct/,Prevention of Mother to Transmission of HIV (PMTCT)
NEPWHAN,https://nepwhan.org/gallery/community-led-monitoring/,COMMUNITY-LED MONITORING
NEPWHAN,https://nepwhan.org/gallery/community-mobilization/,Community Mobilization
NEPWHAN,https://nepwhan.org/gallery/championing-the-cause-wad-2/,POLICYMAKERS CHAMPIONING THE CAUSE
